2026-01-25 13:26:00 | method=OPTIONS | path=/api/auth/register | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=auth.register
2026-01-25 13:26:00 | method=POST | path=/api/auth/register | status=201 | identity=anonymous | ip=127.0.0.1 | endpoint=auth.register
2026-01-25 13:26:30 | method=OPTIONS | path=/api/auth/login | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=auth.login
2026-01-25 13:26:31 | method=POST | path=/api/auth/login | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=auth.login
2026-01-25 13:27:57 | method=OPTIONS | path=/api/auth/laboratory | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=auth.laboratory_request
2026-01-25 13:27:57 | method=POST | path=/api/auth/laboratory | status=201 | identity=1 | ip=127.0.0.1 | endpoint=auth.laboratory_request
2026-01-25 13:28:14 | method=OPTIONS | path=/api/auth/logout | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=auth.logout
2026-01-25 13:28:14 | method=POST | path=/api/auth/logout | status=200 | identity=1 | ip=127.0.0.1 | endpoint=auth.logout
2026-01-25 13:28:57 | method=OPTIONS | path=/api/auth/register-admin | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=auth.register_admin_route
2026-01-25 13:28:57 | method=POST | path=/api/auth/register-admin | status=201 | identity=anonymous | ip=127.0.0.1 | endpoint=auth.register_admin_route
2026-01-25 13:29:10 | method=OPTIONS | path=/api/auth/login-admin | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=auth.login_admin_route
2026-01-25 13:29:11 | method=POST | path=/api/auth/login-admin | status=401 | identity=anonymous | ip=127.0.0.1 | endpoint=auth.login_admin_route
2026-01-25 13:30:05 | method=OPTIONS | path=/api/auth/login-admin | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=auth.login_admin_route
2026-01-25 13:30:05 | method=POST | path=/api/auth/login-admin | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=auth.login_admin_route
2026-01-25 13:30:05 | method=OPTIONS | path=/api/admin/users | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=admin.admin_list_users
2026-01-25 13:30:06 | method=OPTIONS | path=/api/admin/users | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=admin.admin_list_users
2026-01-25 13:30:06 | method=GET | path=/api/admin/users | status=200 | identity=admin:1 | ip=127.0.0.1 | endpoint=admin.admin_list_users
2026-01-25 13:30:06 | method=GET | path=/api/admin/users | status=200 | identity=admin:1 | ip=127.0.0.1 | endpoint=admin.admin_list_users
2026-01-25 13:30:43 | method=OPTIONS | path=/api/admin/users/1 | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=admin.admin_update_user
2026-01-25 13:30:43 | method=PATCH | path=/api/admin/users/1 | status=200 | identity=admin:1 | ip=127.0.0.1 | endpoint=admin.admin_update_user
2026-01-25 13:30:45 | method=OPTIONS | path=/api/admin/users | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=admin.admin_list_users
2026-01-25 13:30:45 | method=GET | path=/api/admin/users | status=200 | identity=admin:1 | ip=127.0.0.1 | endpoint=admin.admin_list_users
2026-01-25 13:30:50 | method=OPTIONS | path=/api/admin/laboratories | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=admin.admin_list_laboratories
2026-01-25 13:30:50 | method=OPTIONS | path=/api/admin/laboratories | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=admin.admin_list_laboratories
2026-01-25 13:30:50 | method=GET | path=/api/admin/laboratories | status=200 | identity=admin:1 | ip=127.0.0.1 | endpoint=admin.admin_list_laboratories
2026-01-25 13:30:50 | method=GET | path=/api/admin/laboratories | status=200 | identity=admin:1 | ip=127.0.0.1 | endpoint=admin.admin_list_laboratories
2026-01-25 13:31:04 | method=OPTIONS | path=/api/admin/laboratories/1 | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=admin.admin_update_laboratory
2026-01-25 13:31:04 | method=PATCH | path=/api/admin/laboratories/1 | status=200 | identity=admin:1 | ip=127.0.0.1 | endpoint=admin.admin_update_laboratory
2026-01-25 13:31:06 | method=OPTIONS | path=/api/admin/laboratories | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=admin.admin_list_laboratories
2026-01-25 13:31:06 | method=GET | path=/api/admin/laboratories | status=200 | identity=admin:1 | ip=127.0.0.1 | endpoint=admin.admin_list_laboratories
2026-01-25 13:31:11 | method=OPTIONS | path=/api/admin/users | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=admin.admin_list_users
2026-01-25 13:31:11 | method=OPTIONS | path=/api/admin/users | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=admin.admin_list_users
2026-01-25 13:31:11 | method=GET | path=/api/admin/users | status=200 | identity=admin:1 | ip=127.0.0.1 | endpoint=admin.admin_list_users
2026-01-25 13:31:12 | method=GET | path=/api/admin/users | status=200 | identity=admin:1 | ip=127.0.0.1 | endpoint=admin.admin_list_users
2026-01-25 13:31:16 | method=OPTIONS | path=/api/admin/laboratories | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=admin.admin_list_laboratories
2026-01-25 13:31:16 | method=OPTIONS | path=/api/admin/laboratories | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=admin.admin_list_laboratories
2026-01-25 13:31:17 | method=GET | path=/api/admin/laboratories | status=200 | identity=admin:1 | ip=127.0.0.1 | endpoint=admin.admin_list_laboratories
2026-01-25 13:31:17 | method=GET | path=/api/admin/laboratories | status=200 | identity=admin:1 | ip=127.0.0.1 | endpoint=admin.admin_list_laboratories
2026-01-25 13:31:19 | method=OPTIONS | path=/api/admin/users | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=admin.admin_list_users
2026-01-25 13:31:20 | method=OPTIONS | path=/api/admin/users | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=admin.admin_list_users
2026-01-25 13:31:20 | method=GET | path=/api/admin/users | status=200 | identity=admin:1 | ip=127.0.0.1 | endpoint=admin.admin_list_users
2026-01-25 13:31:20 | method=GET | path=/api/admin/users | status=200 | identity=admin:1 | ip=127.0.0.1 | endpoint=admin.admin_list_users
2026-01-25 13:38:41 | method=OPTIONS | path=/api/admin/users | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=admin.admin_list_users
2026-01-25 13:38:41 | method=OPTIONS | path=/api/admin/users | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=admin.admin_list_users
2026-01-25 13:38:41 | method=GET | path=/api/admin/users | status=200 | identity=admin:1 | ip=127.0.0.1 | endpoint=admin.admin_list_users
2026-01-25 13:38:41 | method=GET | path=/api/admin/users | status=200 | identity=admin:1 | ip=127.0.0.1 | endpoint=admin.admin_list_users
2026-01-25 18:33:15 | method=OPTIONS | path=/api/auth/login-admin | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=auth.login_admin_route
2026-01-25 18:33:15 | method=POST | path=/api/auth/login-admin | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=auth.login_admin_route
2026-01-25 18:33:15 | method=OPTIONS | path=/api/admin/users | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=admin.admin_list_users
2026-01-25 18:33:15 | method=OPTIONS | path=/api/admin/users | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=admin.admin_list_users
2026-01-25 18:33:15 | method=GET | path=/api/admin/users | status=200 | identity=admin:1 | ip=127.0.0.1 | endpoint=admin.admin_list_users
2026-01-25 18:33:16 | method=GET | path=/api/admin/users | status=200 | identity=admin:1 | ip=127.0.0.1 | endpoint=admin.admin_list_users
2026-01-25 18:34:49 | method=OPTIONS | path=/api/auth/logout | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=auth.logout
2026-01-25 18:34:49 | method=POST | path=/api/auth/logout | status=200 | identity=admin:1 | ip=127.0.0.1 | endpoint=auth.logout
2026-01-25 18:41:01 | method=OPTIONS | path=/api/auth/login-admin | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=auth.login_admin_route
2026-01-25 18:41:01 | method=POST | path=/api/auth/login-admin | status=401 | identity=anonymous | ip=127.0.0.1 | endpoint=auth.login_admin_route
2026-01-25 18:42:10 | method=OPTIONS | path=/api/auth/login-admin | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=auth.login_admin_route
2026-01-25 18:42:11 | method=POST | path=/api/auth/login-admin | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=auth.login_admin_route
2026-01-25 18:42:11 | method=OPTIONS | path=/api/admin/users | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=admin.admin_list_users
2026-01-25 18:42:11 | method=OPTIONS | path=/api/admin/users | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=admin.admin_list_users
2026-01-25 18:42:11 | method=GET | path=/api/admin/users | status=200 | identity=admin:1 | ip=127.0.0.1 | endpoint=admin.admin_list_users
2026-01-25 18:42:11 | method=GET | path=/api/admin/users | status=200 | identity=admin:1 | ip=127.0.0.1 | endpoint=admin.admin_list_users
2026-01-25 18:42:33 | method=OPTIONS | path=/api/admin/users | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=admin.admin_list_users
2026-01-25 18:42:33 | method=OPTIONS | path=/api/admin/users | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=admin.admin_list_users
2026-01-25 18:42:33 | method=GET | path=/api/admin/users | status=200 | identity=admin:1 | ip=127.0.0.1 | endpoint=admin.admin_list_users
2026-01-25 18:42:33 | method=GET | path=/api/admin/users | status=200 | identity=admin:1 | ip=127.0.0.1 | endpoint=admin.admin_list_users
2026-01-25 18:43:10 | method=OPTIONS | path=/api/auth/register-admin | status=200 | identity=anonymous | ip=127.0.0.1 | endpoint=auth.register_admin_route
